Number,Full Name,Google Scholar,Scopus,Subject
1,Гриньов Борис Вікторович,85,52,фізика та математика - Chemical & Material Sciences
2,Пугач Валерій Михайлович,76,40,фізика та математика - High Energy & Nuclear Physics
3,Зінов’єв Геннадій Михайлович,65,47,фізика та математика - High Energy & Nuclear Physics
4,Тимошенко Степан Прокопович (1878-1972),65,-,технічні науки - Materials Engineering
5,Мартинов Євген Сергійович,63,41,фізика та математика - High Energy & Nuclear Physics
6,Боголюбов Микола Миколайович (1909-1992),62,-,фізика та математика - Physics & Mathematics
7,Вернадський Володимир Іванович (1863-1945),55,-,науки про Землю - Earth Sciences
8,Демченко Олександр Петрович,52,43,науки про життя - Nanotechnology
9,Костюк Платон Григорович (1924-2010),52,42,науки про життя - Physiology
10,Ізотов Юрій Іванович,50,40,фізика та математика - Astronomy & Astrophysics
11,Третяк Володимир Ілліч,49,44,фізика та математика - High Energy & Nuclear Physics
12,Морозовська Ганна Миколаївна,46,37,фізика та математика - Condensed Matter Physics & Semiconductors
13,Ангельський Олег Вячеславович,45,38,фізика та математика - Optics & Photonics
14,Геєць Валерій Михайлович,45,-,економіка - Business & Economics & Management
15,Гнєденко Борис Володимирович (1912-1995),45,-,фізика та математика - Probability & Statistics with Applications
16,Гусинін Валерій Павлович,45,35,фізика та математика - Condensed Matter Physics & Semiconductors
17,Іваницький Олексій Ігорович,45,35,фізика та математика - High Energy & Nuclear Physics
18,Ахієзер Олександр Ілліч (1911-2000),44,-,фізика та математика - Physics & Mathematics
19,Єлісєєв Євген Анатолійович,44,36,фізика та математика - Materials Engineering
20,Єльська Ганна Валентинівна,44,36,науки про життя - Molecular Biology
21,Кобичев Владислав Валерієвич,44,34,фізика та математика - High Energy & Nuclear Physics
22,Гунько Володимир Мусійович,43,34,хімія - Nanotechnology
23,Кришталь Олег Олександрович,43,34,науки про життя - Physiology
24,Лебовка Микола Іванович,43,30,хімія - Dispersion Chemistry
25,Бондаренко Ігор Миколайович,42,28,медицина - Oncology
26,Горенштейн Марк Ісакович,42,33,фізика та математика - High Energy & Nuclear Physics
27,Горб Леонід Григорович,40,34,науки про життя - Bioinformatics & Computational Biology
28,Лібанова Елла Марленівна,40,-,економіка - Sociology
29,Глушков Віктор Михайлович (1923-1982),39,5,інформатика - Theoretical Computer Science
30,Мінаєв Борис Пилипович,39,32,хімія - Nanotechnology
31,Тронько Микола Дмитрович,39,32,медицина - Endocrinology
32,Даневич Федір Анатолійович,38,30,фізика та математика - High Energy & Nuclear Physics
33,Солдаткін Олексій Петрович,38,31,науки про життя - Biotechnology
34,Кордюк Олександр Анатолійович,37,30,фізика та математика - Condensed Matter Physics & Semiconductors
35,Лущак Володимир Іванович,37,29,науки про життя - Biochemistry
36,Майстренко Юрій Леонідович,37,28,фізика та математика - Nonlinear Science
37,Платонов Володимир Миколайович,37,2,педагогіка - Physical Education & Sports Medicine
38,Погребняк Олександр Дмитрович,37,32,фізика та математика - Condensed Matter Physics & Semiconductors
39,Рєзніков Юрій Олександрович (1953-2016),37,25,фізика та математика - Optics & Photonics
40,Саблук Петро Трохимович,37,-,економіка - Strategic Management
41,Ушенко Олександр Григорович,37,30,фізика та математика - Optics & Photonics
42,Шкуратов Юрій Григорович,37,31,фізика та математика - Astronomy & Astrophysics
43,Глинчук Майя Давидівна,36,31,фізика та математика - Materials Engineering
44,Говорун Дмитро Миколайович,36,31,науки про життя - Biochemistry
45,Головаха Євген Іванович,36,5,суспільні науки - Sociology
46,Міщенко Володимир Іванович,36,1,економіка - Finance
47,Шиванюк Олександр Миколайович,36,32,хімія - Biochemistry
48,Кремень Василь Григорович,35,-,педагогіка - Education
49,Крячко Євген Сергійович,35,28,фізика та математика - Mathematical Physics
50,Носич Олександр Йосипович,35,28,фізика та математика - Electromagnetism
51,Самойленко Анатолій Михайлович,35,6,фізика та математика - Physics & Mathematics
52,Бугаєв Кирило Олексійович,34,18,фізика та математика - High Energy & Nuclear Physics
53,Данилишин Богдан Михайлович,34,-,економіка - Sustainable Development
